,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
35,756031.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,agosto de 2021 ,G
0,11195.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,julho de 2022 ,G
1,8898.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,julho de 2022 ,G
2,11229.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,junho de 2022 ,G
3,8925.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,junho de 2022 ,G
4,11140.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,maio de 2022 ,G
5,8855.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,maio de 2022 ,G
6,11052.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,abril de 2022 ,G
7,8326.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,abril de 2022 ,G
8,10948.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,março de 2022 ,G
9,8260.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,março de 2022 ,G
10,10437.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,fevereiro de 2022 ,G
11,8195.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,fevereiro de 2022 ,G
12,9847.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,janeiro de 2022 ,G
13,8130.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,janeiro de 2022 ,G
14,9769.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,dezembro de 2021 ,G
15,8066.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,dezembro de 2021 ,G
16,9736.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,novembro de 2021 ,G
17,8038.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,novembro de 2021 ,G
18,9273.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,outubro de 2021 ,G
19,8011.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,outubro de 2021 ,G
20,8749.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,setembro de 2021 ,G
21,7894.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,setembro de 2021 ,G
22,8014.0,Nissan,Infinit 3.0,1992,Gasolina,023025-1,agosto de 2021 ,G
23,7604.0,Nissan,Infinit 3.0,1991,Gasolina,023025-1,agosto de 2021 ,G
0,111976.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,julho de 2022 ,G
1,101433.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,julho de 2022 ,G
2,112266.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,junho de 2022 ,G
3,101739.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,junho de 2022 ,G
4,113672.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,maio de 2022 ,G
5,96987.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,maio de 2022 ,G
6,109952.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,abril de 2022 ,G
7,96218.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,abril de 2022 ,G
8,109080.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,março de 2022 ,G
9,95455.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,março de 2022 ,G
10,103985.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,fevereiro de 2022 ,G
11,94698.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,fevereiro de 2022 ,G
12,99128.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2022,Gasolina,023173-8,janeiro de 2022 ,G
13,93947.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,janeiro de 2022 ,G
14,93202.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,dezembro de 2021 ,G
15,92879.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,novembro de 2021 ,G
16,92557.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,outubro de 2021 ,G
17,91201.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,setembro de 2021 ,G
18,72806.0,Nissan,KICKS Active S 1.6 16V Flex Aut.,2021,Gasolina,023173-8,agosto de 2021 ,G
0,131297.0,Nissan,KICKS Advance 1.6 16V Flex Aut.,32000,Gasolina,023180-0,julho de 2022 ,G
1,117206.0,Nissan,KICKS Advance 1.6 16V Flex Aut.,2022,Gasolina,023180-0,julho de 2022 ,G
2,131037.0,Nissan,KICKS Advance 1.6 16V Flex Aut.,32000,Gasolina,023180-0,junho de 2022 ,G
3,119839.0,Nissan,KICKS Advance 1.6 16V Flex Aut.,2022,Gasolina,023180-0,junho de 2022 ,G
4,131664.0,Nissan,KICKS Advance 1.6 16V Flex Aut.,32000,Gasolina,023180-0,maio de 2022 ,G
